TimeStamp;OrderId;OrderStatus;VehicleId;
14503;195151;IN_PROGRESS;35;
14631;974640;DELIVERED;16;
14634;507218;IN_PROGRESS;37;
14650;821155;UNASSIGNED;-1;
14651;821155;ASSIGNED;41;
14657;731436;IN_PROGRESS;1;
14758;784497;DELIVERED;49;
14758;169343;DELIVERED;49;
14769;551496;DELIVERED;38;
14840;821155;IN_PROGRESS;41;
14957;446541;DELIVERED;16;
14960;607990;DELIVERED;12;
15059;280151;IN_PROGRESS;36;
15122;755718;IN_PROGRESS;31;
15210;490099;UNASSIGNED;-1;
15211;490099;ASSIGNED;10;
15383;996450;IN_PROGRESS;20;
15410;490099;IN_PROGRESS;10;
15462;527273;DELIVERED;44;
15592;679739;UNASSIGNED;-1;
15593;679739;ASSIGNED;35;
15647;433272;DELIVERED;33;
15785;227930;UNASSIGNED;-1;
15786;227930;ASSIGNED;33;
15789;817401;DELIVERED;17;
15830;628572;DELIVERED;12;
15832;198834;UNASSIGNED;-1;
15833;198834;ASSIGNED;19;
15860;652117;UNASSIGNED;-1;
15861;652117;ASSIGNED;1;
15878;452312;DELIVERED;19;
15947;227930;IN_PROGRESS;33;
15962;87304;DELIVERED;5;
16016;243589;IN_PROGRESS;31;
16016;755718;DELIVERED;31;
16022;180614;DELIVERED;48;
16192;943466;UNASSIGNED;-1;
16193;943466;ASSIGNED;33;
16230;921731;DELIVERED;39;
16230;47209;UNASSIGNED;-1;
16231;47209;ASSIGNED;17;
16325;764378;UNASSIGNED;-1;
16326;764378;ASSIGNED;8;
16340;277008;UNASSIGNED;-1;
16341;277008;ASSIGNED;44;
16400;373986;UNASSIGNED;-1;
16401;373986;ASSIGNED;10;
16504;764378;IN_PROGRESS;8;
16520;950342;DELIVERED;39;
16532;691228;DELIVERED;47;
16533;679739;IN_PROGRESS;35;
16630;352994;UNASSIGNED;-1;
16631;352994;ASSIGNED;9;
16700;398118;UNASSIGNED;-1;
16701;398118;ASSIGNED;16;
16742;613527;UNASSIGNED;-1;
16743;613527;ASSIGNED;49;
16805;352994;IN_PROGRESS;9;
16823;570799;UNASSIGNED;-1;
16824;570799;ASSIGNED;4;
17023;996450;DELIVERED;20;
17196;79947;UNASSIGNED;-1;
17197;79947;ASSIGNED;17;
17212;930285;UNASSIGNED;-1;
17213;930285;ASSIGNED;5;
17259;553321;UNASSIGNED;-1;
17260;553321;ASSIGNED;6;
17299;858795;DELIVERED;34;
17312;23006;DELIVERED;20;
17367;243589;DELIVERED;31;
17397;652117;IN_PROGRESS;1;
17397;731436;DELIVERED;1;
17402;930285;IN_PROGRESS;5;
17451;553321;IN_PROGRESS;6;
17463;413453;DELIVERED;39;
17463;386329;UNASSIGNED;-1;
17464;386329;ASSIGNED;23;
17469;47209;IN_PROGRESS;17;
17469;64109;DELIVERED;17;
17521;708719;UNASSIGNED;-1;
17522;708719;ASSIGNED;17;
17602;168422;IN_PROGRESS;20;
17698;280151;DELIVERED;36;
17708;153674;DELIVERED;48;
17911;821155;DELIVERED;41;
18020;857053;UNASSIGNED;-1;
18021;857053;ASSIGNED;19;
18102;652117;DELIVERED;1;
18231;943466;IN_PROGRESS;33;
18260;354974;UNASSIGNED;-1;
18261;354974;ASSIGNED;16;
18392;118799;UNASSIGNED;-1;
18393;118799;ASSIGNED;50;
18405;198834;IN_PROGRESS;19;
18461;165308;DELIVERED;39;
18475;685883;DELIVERED;14;
18475;930669;DELIVERED;46;
18516;62414;UNASSIGNED;-1;
18517;62414;ASSIGNED;50;
18590;837547;DELIVERED;31;
18632;189186;DELIVERED;4;
18712;593904;UNASSIGNED;-1;
18713;593904;ASSIGNED;5;
18724;490789;DELIVERED;11;
18753;61112;DELIVERED;21;
18753;507218;DELIVERED;37;
18842;168422;DELIVERED;20;
18854;373986;IN_PROGRESS;10;
18892;765669;UNASSIGNED;-1;
18893;765669;ASSIGNED;24;
18920;933147;UNASSIGNED;-1;
18921;933147;ASSIGNED;5;
18948;506038;DELIVERED;1;
18997;553321;DELIVERED;6;
19021;398118;IN_PROGRESS;16;
19029;113472;UNASSIGNED;-1;
19030;113472;ASSIGNED;25;
19056;347634;UNASSIGNED;-1;
19057;347634;ASSIGNED;24;
19090;347634;IN_PROGRESS;24;
19090;765669;IN_PROGRESS;24;
19147;708719;IN_PROGRESS;17;
19147;79947;IN_PROGRESS;17;
19162;570799;IN_PROGRESS;4;
19202;118799;IN_PROGRESS;50;
19237;440546;UNASSIGNED;-1;
19238;440546;ASSIGNED;25;
19265;277008;IN_PROGRESS;44;
19417;479937;UNASSIGNED;-1;
19418;479937;ASSIGNED;19;
19465;613527;IN_PROGRESS;49;
19626;996872;DELIVERED;36;
19672;739735;UNASSIGNED;-1;
19673;739735;ASSIGNED;4;
19685;352994;DELIVERED;9;
19785;593904;IN_PROGRESS;5;
19897;791130;UNASSIGNED;-1;
19898;791130;ASSIGNED;33;
20110;739735;IN_PROGRESS;4;
20120;376671;UNASSIGNED;-1;
20121;376671;ASSIGNED;3;
20180;56070;UNASSIGNED;-1;
20181;56070;ASSIGNED;1;
20190;529228;UNASSIGNED;-1;
20191;529228;ASSIGNED;33;
20233;227930;DELIVERED;33;
20233;943466;DELIVERED;33;
20262;896071;DELIVERED;20;
20328;56070;IN_PROGRESS;1;
20390;539724;UNASSIGNED;-1;
20391;539724;ASSIGNED;6;
20440;876824;IN_PROGRESS;34;
20440;724010;DELIVERED;34;
20450;619354;IN_PROGRESS;14;
20464;422931;UNASSIGNED;-1;
20465;422931;ASSIGNED;23;
20501;708719;DELIVERED;17;
20562;764378;DELIVERED;8;
20750;72591;UNASSIGNED;-1;
20751;72591;ASSIGNED;6;
21017;347634;DELIVERED;24;
21070;117577;UNASSIGNED;-1;
21071;117577;ASSIGNED;1;
21222;714585;UNASSIGNED;-1;
21223;714585;ASSIGNED;34;
21363;395454;DELIVERED;21;
21363;79947;DELIVERED;17;
21486;762618;UNASSIGNED;-1;
21487;762618;ASSIGNED;15;
21562;613527;DELIVERED;49;
21652;117577;IN_PROGRESS;1;
21652;56070;DELIVERED;1;
21653;404209;DELIVERED;21;
21692;594638;UNASSIGNED;-1;
21693;594638;ASSIGNED;33;
21922;354974;IN_PROGRESS;16;
21922;855373;UNASSIGNED;-1;
21923;855373;ASSIGNED;24;
21937;224852;DELIVERED;44;
21937;277008;DELIVERED;44;
22070;153586;UNASSIGNED;-1;
22071;153586;ASSIGNED;2;
22357;571180;UNASSIGNED;-1;
22358;571180;ASSIGNED;15;
22478;373986;DELIVERED;10;
22490;211892;UNASSIGNED;-1;
22491;211892;ASSIGNED;10;
22580;307250;UNASSIGNED;-1;
22581;307250;ASSIGNED;7;
22850;934491;UNASSIGNED;-1;
22851;934491;ASSIGNED;10;
22940;579449;UNASSIGNED;-1;
22941;579449;ASSIGNED;6;
23000;521998;UNASSIGNED;-1;
23001;521998;ASSIGNED;48;
23167;208415;IN_PROGRESS;21;
23167;604983;IN_PROGRESS;21;
23167;144762;IN_PROGRESS;21;
23210;939211;UNASSIGNED;-1;
23211;939211;ASSIGNED;20;
23330;521963;DELIVERED;14;
23330;619354;DELIVERED;14;
23330;630575;UNASSIGNED;-1;
23331;630575;ASSIGNED;39;
23349;490099;DELIVERED;10;
23491;112703;UNASSIGNED;-1;
23492;112703;ASSIGNED;48;
23551;181516;UNASSIGNED;-1;
23552;181516;ASSIGNED;15;
23602;211892;IN_PROGRESS;10;
23660;202832;UNASSIGNED;-1;
23661;202832;ASSIGNED;48;
23671;852201;UNASSIGNED;-1;
23672;852201;ASSIGNED;25;
23790;216827;DELIVERED;49;
23851;465800;UNASSIGNED;-1;
23852;465800;ASSIGNED;19;
23911;689450;UNASSIGNED;-1;
23912;689450;ASSIGNED;23;
23960;830866;UNASSIGNED;-1;
23961;830866;ASSIGNED;8;
24045;441902;DELIVERED;14;
24333;570799;DELIVERED;4;
24333;739735;DELIVERED;4;
24393;26756;UNASSIGNED;-1;
24394;26756;ASSIGNED;12;
24451;81617;UNASSIGNED;-1;
24452;81617;ASSIGNED;23;
24453;356134;UNASSIGNED;-1;
24454;356134;ASSIGNED;9;
24513;727100;UNASSIGNED;-1;
24514;727100;ASSIGNED;24;
24831;876824;DELIVERED;34;
24860;630326;UNASSIGNED;-1;
24861;630326;ASSIGNED;1;
24860;83857;UNASSIGNED;-1;
24861;83857;ASSIGNED;39;
24913;408416;DELIVERED;14;
25745;144762;DELIVERED;21;
25930;215045;UNASSIGNED;-1;
25931;215045;ASSIGNED;39;
26187;127187;DELIVERED;23;
26253;458253;UNASSIGNED;-1;
26254;458253;ASSIGNED;32;
26313;331150;UNASSIGNED;-1;
26314;331150;ASSIGNED;4;
26313;81728;UNASSIGNED;-1;
26314;81728;ASSIGNED;9;
26493;331150;IN_PROGRESS;4;
26530;410511;UNASSIGNED;-1;
26531;410511;ASSIGNED;50;
26540;893162;UNASSIGNED;-1;
26541;893162;ASSIGNED;39;
26579;633783;DELIVERED;28;
26579;679739;DELIVERED;35;
26639;604983;DELIVERED;21;
26720;319448;UNASSIGNED;-1;
26721;319448;ASSIGNED;32;
26830;724867;UNASSIGNED;-1;
26831;724867;ASSIGNED;34;
26834;113472;IN_PROGRESS;25;
26850;943101;UNASSIGNED;-1;
26851;943101;ASSIGNED;31;
26900;890018;UNASSIGNED;-1;
26901;890018;ASSIGNED;32;
27020;625448;UNASSIGNED;-1;
27021;625448;ASSIGNED;2;
27169;208415;DELIVERED;21;
27224;684087;IN_PROGRESS;28;
27224;307252;DELIVERED;28;
27404;656607;IN_PROGRESS;23;
27620;843258;UNASSIGNED;-1;
27621;843258;ASSIGNED;9;
27910;150446;UNASSIGNED;-1;
27911;150446;ASSIGNED;2;
28040;166821;UNASSIGNED;-1;
28041;166821;ASSIGNED;9;
28040;423359;UNASSIGNED;-1;
28041;423359;ASSIGNED;50;
28188;501299;DELIVERED;21;
28248;146023;UNASSIGNED;-1;
28249;146023;ASSIGNED;29;
28280;514090;UNASSIGNED;-1;
28281;514090;ASSIGNED;15;
28547;331150;DELIVERED;4;
28580;422689;UNASSIGNED;-1;
28581;422689;ASSIGNED;3;
28676;89688;IN_PROGRESS;34;
28686;737613;UNASSIGNED;-1;
28687;737613;ASSIGNED;15;
28728;41037;UNASSIGNED;-1;
28729;41037;ASSIGNED;21;
28728;925975;UNASSIGNED;-1;
28729;925975;ASSIGNED;14;
28820;199905;UNASSIGNED;-1;
28821;199905;ASSIGNED;3;
28908;41037;IN_PROGRESS;21;
28933;925975;IN_PROGRESS;14;
28990;363183;UNASSIGNED;-1;
28991;363183;ASSIGNED;1;
29147;846684;UNASSIGNED;-1;
29148;846684;ASSIGNED;31;
29180;826109;UNASSIGNED;-1;
29181;826109;ASSIGNED;32;
29254;684087;DELIVERED;28;
29455;440546;IN_PROGRESS;25;
29455;113472;DELIVERED;25;
29660;315147;UNASSIGNED;-1;
29661;315147;ASSIGNED;4;
29796;656607;DELIVERED;23;
29796;31576;UNASSIGNED;-1;
29797;31576;ASSIGNED;7;
29960;361485;UNASSIGNED;-1;
29961;361485;ASSIGNED;39;
29960;456542;UNASSIGNED;-1;
29961;456542;ASSIGNED;16;
30001;315147;IN_PROGRESS;4;
30131;281116;IN_PROGRESS;23;
30140;109878;UNASSIGNED;-1;
30141;109878;ASSIGNED;4;
30140;178608;UNASSIGNED;-1;
30141;178608;ASSIGNED;4;
30260;198290;UNASSIGNED;-1;
30261;198290;ASSIGNED;5;
30545;281116;DELIVERED;23;
30590;440546;DELIVERED;25;
30680;210437;UNASSIGNED;-1;
30681;210437;ASSIGNED;27;
30790;842623;UNASSIGNED;-1;
30791;842623;ASSIGNED;21;
30860;690619;UNASSIGNED;-1;
30861;690619;ASSIGNED;15;
30920;636414;UNASSIGNED;-1;
30921;636414;ASSIGNED;37;
30920;307687;UNASSIGNED;-1;
30921;307687;ASSIGNED;3;
